name;price;change_1_hour;change_24_hours;change_7_days;volume_24_hors;mkt_cap
Bitcoin;$22,925.67;0.6%;0.1%;9.9%;$33,650,080,371;$441,539,679,297
Ethereum;$1,639.14;0.3%;0.7%;5.7%;$7,547,431,364;$197,551,189,631
Tether;$1.00;-0.0%;-0.0%;0.0%;$42,390,325,965;$66,768,151,087
USD Coin;$1.00;-0.1%;-0.1%;0.1%;$3,052,945,952;$43,629,857,670
BNB;$306.00;0.5%;1.1%;1.4%;$888,813,991;$41,258,738,151
XRP;$0.423850;0.6%;4.4%;10.2%;$1,681,003,886;$21,529,016,087
Binance USD;$1.00;-0.0%;0.0%;0.1%;$10,311,377,840;$16,036,061,623
Cardano;$0.379231;0.4%;-1.1%;8.2%;$638,712,683;$13,290,064,277
Dogecoin;$0.089727836162;0.4%;4.0%;4.2%;$1,242,688,170;$12,367,675,596
Solana;$24.68;0.8%;-2.1%;8.1%;$940,431,053;$9,152,313,669
Polygon;$1.01;0.6%;0.8%;2.6%;$529,497,310;$9,043,631,269
OKB;$36.14;1.3%;-2.9%;15.2%;$31,282,001;$8,909,157,075
Lido Staked Ether;$1,631.46;0.2%;0.6%;5.9%;$14,990,353;$8,020,992,467
Polkadot;$6.37;1.0%;1.2%;7.3%;$257,658,773;$7,607,938,656
Shiba Inu;$0.000012152265;0.5%;0.1%;13.7%;$475,694,914;$7,154,687,856
Litecoin;$89.79;1.2%;0.7%;2.9%;$527,473,432;$6,474,531,497
TRON;$0.062412369684;0.3%;0.6%;0.0%;$258,641,177;$5,726,676,599
Avalanche;$17.90;0.9%;3.9%;6.7%;$571,679,421;$5,621,002,703
Uniswap;$6.88;0.5%;0.7%;4.4%;$208,742,046;$5,181,984,424
Dai;$1.00;-0.1%;0.0%;-0.4%;$179,553,075;$5,147,945,815
Wrapped Bitcoin;$22,842.32;0.5%;-0.0%;9.5%;$112,317,828;$4,116,596,229
Cosmos Hub;$13.38;0.5%;2.2%;4.7%;$231,173,344;$3,914,902,443
Chainlink;$7.14;0.7%;3.3%;6.6%;$489,446,567;$3,503,948,824
Toncoin;$2.29;-0.0%;0.4%;-1.2%;$35,179,687;$3,369,555,589
LEO Token;$3.46;-0.0%;0.0%;-0.5%;$227,341;$3,223,765,804
Ethereum Classic;$23.10;0.4%;4.9%;3.0%;$380,770,613;$3,211,490,380
Monero;$176.54;0.3%;-0.7%;1.6%;$85,410,073;$3,201,825,301
Bitcoin Cash;$135.54;0.2%;4.3%;8.6%;$601,843,699;$2,613,419,548
Stellar;$0.095258396155;0.6%;3.8%;8.0%;$95,822,281;$2,497,467,432
NEAR Protocol;$2.61;0.5%;7.1%;16.5%;$396,717,799;$2,215,409,622
Aptos;$13.60;1.4%;-2.1%;70.9%;$792,648,755;$2,174,879,768
ApeCoin;$5.89;-0.6%;3.8%;14.9%;$340,011,539;$2,169,281,269
Quant;$143.58;0.5%;0.7%;9.1%;$41,390,196;$2,087,866,983
Lido DAO;$2.46;0.8%;3.0%;11.5%;$164,061,368;$2,057,061,960
Filecoin;$5.54;1.9%;4.5%;17.6%;$464,480,087;$2,035,413,547
Cronos;$0.079243433648;0.2%;0.8%;6.8%;$26,234,993;$2,000,757,490
Algorand;$0.253616;0.2%;2.9%;5.4%;$144,837,373;$1,825,713,903
Hedera;$0.070002338265;0.3%;-1.6%;34.0%;$59,968,692;$1,771,649,410
